cellnames,dataset,tSNE_1,tSNE_2,KNNpred,SVMpred,IDconsensus,Tom_cells
F1S4_180130_332_C01,T18,0.324917104,-21.77400901,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180130_332_D01,T18,26.13385232,-1.212934651,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_332_F01,T18,1.978554065,8.295137444,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_180130_332_G01,T18,30.05486259,-2.782293951,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180130_332_H01,T18,2.447476469,11.43995611,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_180130_335_D01,T18,12.01179571,-14.58643593,non appliable,non appliable,Lamp5 Lhx6,non appliable
F1S4_180130_354_A01,T18,5.211898648,-27.03441767,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180130_354_E01,T18,-7.825672396,-19.29072613,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180130_356_E01,T18,7.697638142,-27.55149944,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180130_356_H01,T18,7.128822481,-33.31420837,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_315_A01,T18,49.20578392,32.44031024,non appliable,non appliable,Lamp5 Fam19a1 Pax6,non appliable
F1S4_180124_315_B01,T18,-0.195346114,-13.29416054,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_315_C01,T18,0.02509217,-16.29675727,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_315_E01,T18,48.98983681,32.45079011,non appliable,non appliable,Lamp5 Krt73,non appliable
F1S4_180124_315_F01,T18,-0.077931766,-16.34014909,non appliable,non appliable,Sncg Vip Itih5,non appliable
F1S4_180124_316_A01,T18,-0.334056649,-12.60393419,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_316_B01,T18,-0.698110035,-31.16976638,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_316_D01,T18,-0.328078136,-14.86354147,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_316_E01,T18,7.204025767,-8.894066653,non appliable,non appliable,Sncg Vip Itih5,non appliable
F1S4_180124_316_F01,T18,0.110168123,-13.22043386,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_316_H01,T18,-20.18525173,40.01833377,non appliable,non appliable,Vip Arhgap36 Hmcn1,non appliable
F1S4_180124_317_B01,T18,6.032496572,-35.93383881,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_317_C01,T18,-0.386615852,-12.49123094,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_317_D01,T18,6.816611606,-34.78155212,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_317_E01,T18,-0.419341349,-12.42744485,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_317_G01,T18,0.670436464,-15.81086137,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_317_H01,T18,1.250069166,-13.76962217,non appliable,non appliable,Sncg Slc17a8,non appliable
F2S4_151217_006_B01,T18,-5.844811009,5.629417821,non appliable,non appliable,Vip Chat Htr1f,non appliable
F2S4_151217_006_H01,T18,-6.081085279,-32.12697945,non appliable,non appliable,Lamp5 Lsp1,non appliable
F2S4_151217_009_C01,T18,-4.207504951,24.75504361,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F2S4_151217_009_E01,T18,-6.977027591,22.15689892,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F2S4_151217_009_F01,T18,-9.673185881,-0.72921669,non appliable,non appliable,Vip Chat Htr1f,non appliable
F2S4_151217_009_G01,T18,-44.73349776,13.7119454,non appliable,non appliable,Vip Ptprt Pkp2,non appliable
F2S4_151217_009_H01,T18,-4.534514502,15.24995407,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F2S4_151217_010_A01,T18,-36.88253728,18.86138309,non appliable,non appliable,Vip Ptprt Pkp2,non appliable
F2S4_151217_010_E01,T18,-9.436150243,19.81009811,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F2S4_151217_013_A01,T18,6.337739828,26.71422389,non appliable,non appliable,Vip Igfbp4 Mab21l1,non appliable
F2S4_151217_013_E01,T18,-8.273618665,-37.37178944,non appliable,non appliable,Lamp5 Lsp1,non appliable
F2S4_151223_001_A01,T18,-21.95025868,12.65397549,non appliable,non appliable,Vip Ptprt Pkp2,non appliable
F2S4_151223_001_B01,T18,-25.04309419,-27.42365131,non appliable,non appliable,Vip Crispld2 Kcne4,non appliable
F2S4_151223_001_C01,T18,-28.66775542,8.792170576,non appliable,non appliable,Vip Rspo4 Rxfp1 Chat,non appliable
F2S4_151223_001_D01,T18,36.42874029,10.49337926,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F2S4_151223_001_E01,T18,44.74632728,17.33213619,non appliable,non appliable,Lamp5 Fam19a1 Tmem182,non appliable
F2S4_151223_001_F01,T18,-2.823343615,-31.61901954,non appliable,non appliable,Lamp5 Lsp1,non appliable
F2S4_151223_001_H01,T18,-9.700781682,-47.93256717,non appliable,non appliable,Lamp5 Lsp1,non appliable
F2S4_151223_002_A01,T18,-0.678439798,21.84834765,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F2S4_151223_002_C01,T18,21.10324483,-25.30677135,non appliable,non appliable,Lamp5 Lsp1,non appliable
F2S4_151223_002_D01,T18,23.92418447,32.04256835,non appliable,non appliable,Vip Igfbp6 Pltp,non appliable
F2S4_151223_002_E01,T18,-8.885189051,16.55783255,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F2S4_151223_002_G01,T18,-28.35497904,16.85798865,non appliable,non appliable,Vip Ptprt Pkp2,non appliable
F2S4_151223_002_H01,T18,29.97225278,2.102002584,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F2S4_151223_003_A01,T18,-4.276906124,-35.99144391,non appliable,non appliable,Lamp5 Lsp1,non appliable
F2S4_151223_003_B01,T18,32.18083132,23.28392507,non appliable,non appliable,Lamp5 Fam19a1 Pax6,non appliable
F2S4_151223_003_D01,T18,41.26273312,-14.39922097,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F2S4_151223_003_E01,T18,37.40436543,-11.32743587,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F2S4_151223_003_G01,T18,19.38563576,36.14789587,non appliable,non appliable,Vip Igfbp6 Pltp,non appliable
F2S4_151223_003_H01,T18,-18.26585364,-0.287202785,non appliable,non appliable,Vip Chat Htr1f,non appliable
F2S4_151223_004_A01,T18,-10.79915578,-36.39136224,non appliable,non appliable,Lamp5 Lsp1,non appliable
F2S4_151223_004_B01,T18,-16.82742228,12.02492467,non appliable,non appliable,Vip Chat Htr1f,non appliable
F2S4_151223_004_C01,T18,34.68191557,6.005348035,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F2S4_151223_004_D01,T18,15.60387975,27.86994667,non appliable,non appliable,Vip Igfbp6 Car10,non appliable
F2S4_151223_004_E01,T18,-25.31438916,-21.67636901,non appliable,non appliable,Vip Crispld2 Kcne4,non appliable
F2S4_151223_004_F01,T18,33.61962329,11.64266263,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
